Term	Freq	Standardized	CUI	SemanticType
procedures	3	Procedures	C2700391	[acty]
prodromal ad	3	prodromes	C0240805	[sosy]
psychoactive drugs	3	Psychoactive Drugs	C0033978	[phsu]
psychostimulants	3	psychostimulants	C0304403	[phsu]
psychotropic drugs	3	Psychotropic Drugs	C0033978	[phsu]
psychotropic medications	3	Psychotropic Medications	C0033978	[phsu]
razadyne	3	Razadyne	C0939465	"[orch, phsu]"
renal impairment	3	Renal Impairment	C1565489	[dsyn]
renal insufficiency	3	RENAL INSUFFICIENCY	C1565489	[dsyn]
risk factors	3	risk factors	C1553898	[inpr]
rivastigmine transdermal system	3	transdermal system	C1720563	[medd]
rosen modified hachinski score	3	SCORE	C0449820	[qnco]
sbp	3	unmapped	unmapped	unmapped
scopolamine	3	SCOPOLAMINE	C0036442	"[orch, phsu]"
secondary dementia	3	secondary dementia	C0856416	[mobd]
serology	3	Serology	C0036745	[bmod]
sleep disturbance	3	SLEEP DISTURBANCE	C0037317	[sosy]
smoker	3	Smoker	C0337664	[fndg]
subjective memory concern	3	Concern	C2699424	[idcn]
substances	3	Substances	C0439861	[sbst]
syphilis serology	3	Syphilis serology	C0919842	[lbpr]
t-score	3	T-Score	C3854607	[qnco]
thrombosis	3	thrombosis	C2586211	[patf]
thyroid abnormalities	3	Thyroid Abnormalities	C0877367	[anab]
thyroid dysfunction	3	Thyroid dysfunction	C0348024	[patf]
tias	3	tia	C1054154	[plnt]
tobacco	3	TOBACCO	C0040329	"[hops, orch, phsu]"
tsh	3	unmapped	unmapped	unmapped
tumor	3	Tumor	C1578706	[inpr]
urine pregnancy test	3	Urine pregnancy test	C0430056	[lbpr]
vaccine	3	Vaccine	C0042210	"[imft, phsu]"
visual acuity	3	Visual Acuity	C0042812	[clna]
visual or hearing impairment	3	HEARING IMPAIRMENT	C1384666	[fndg]
vital sign measurements	3	Vital Sign Measurement	C2963216	[hlca]
vitamin b12	3	Vitamin B12	C2936883	[phsu]
vitamin b12 or folate deficiency	3	FOLATE DEFICIENCY	C0016412	[dsyn]
12-lead ecg	2	12 lead ECG	C0430456	[diap]
abuse	2	ABUSE	C0013146	[mobd]
abuse or dependence on alcohol or other substances	2	Substances	C0439861	[sbst]
acquired immune deficiency syndrome	2	ACQUIRED IMMUNE DEFICIENCY SYNDROME	C0001175	[dsyn]
adjustment disorder	2	ADJUSTMENT DISORDER	C0001546	[mobd]
adl	2	ADL	C1420005	[gngm]
adverse events	2	adverse events	C0877248	[patf]
age-related macular degeneration	2	Age related macular degeneration	C0242383	[dsyn]
agents	2	Agent	C1254351	[phsu]
alanine aminotransferase	2	Alanine amino transferase	C0057041	"[aapp, enzy]"
alcohol breath test	2	alcohol breath test	C0202306	[lbpr]
alcohol or other substance abuse	2	SUBSTANCE ABUSE	C0740858	[mobd]
alcohol/drug abuse	2	Alcohol Drug abuse	C0085762	[mobd]
aldomet	2	Aldomet	C0591055	"[aapp, bacs, phsu]"
alkaline phosphatase	2	ALKALINE PHOSPHATASE	C0002059	"[aapp, enzy]"
alkaline phosphatase values	2	Values	C0042295	[qlco]
allergic conditions	2	Allergic condition	C0851444	[dsyn]
allopurinol	2	ALLOPURINOL	C0002144	"[orch, phsu]"
alterations in mental status	2	Mental status	C0278060	[fndg]
alzheimer	2	unmapped	unmapped	unmapped
alzheimer's dementia	2	Alzheimer dementia	C0002395	[dsyn]
alzheimer's diseas	2	unmapped	unmapped	unmapped
amyloid deposition	2	Amyloid Deposition	C1705760	[fndg]
amyloid imaging with florbetapir f 18	2	FLORBETAPIR F-18	C3475363	"[elii, irda]"
amyloid targeting agent	2	Agent	C1254351	[phsu]
analgesics	2	ANALGESICS	C0002771	"[hops, orch, phsu]"
anaphylaxis	2	Anaphylaxis	C0850803	[dsyn]
anemia	2	Anemia	C1000483	[plnt]
angiography plus stenting	2	Stenting	C2348535	[topp]
anti-amyloid immunotherapy	2	IMMUNOTHERAPY	C0021083	[topp]
anti-depressants	2	unmapped	unmapped	unmapped
anticoagulation	2	ANTICOAGULATION	C2919015	[fndg]
anticoagulation therapy	2	Anticoagulation Therapy	C0003281	[topp]
antidementia drugs	2	Antidementia drug	C1276997	[phsu]
antihistamines	2	ANTIHISTAMINES	C0003360	"[orch, phsu]"
anxiolytic	2	Anxiolytic	C0040616	[phsu]
aphasia	2	APHASIA	C0003537	[mobd]
arterial hypertension	2	"Hypertension, arterial"	C0020538	[dsyn]
arthritis	2	ARTHRITIS	C0003864	[dsyn]
aspartate aminotransferase	2	Aspartate Aminotransferase	C0004002	"[aapp, enzy]"
aspartate aminotransferase ( ast )	2	AST	C3891303	[tmco]
atomoxetine	2	ATOMOXETINE	C0076823	"[orch, phsu]"
atrial or ventricular fibrillation	2	Ventricular fibrillation	C1962976	[patf]
atypical antipsychotics	2	Atypical antipsychotic	C1276996	[phsu]
autoimmune disease	2	AUTOIMMUNE DISEASE	C0004364	[dsyn]
axis i diagnosis	2	Axis I diagnosis	C0270287	[mobd]
axis i disorder	2	Disorder	C0012634	[dsyn]
back pain	2	Back pain	C1963071	[fndg]
back surgery	2	back surgery	C0741419	[topp]
baseline ekg	2	EKG	C0013798	[fndg]
beta-blocking agents	2	BETA BLOCKING AGENTS	C0001645	[phsu]
biomarker	2	Biomarker	C0005516	[clna]
biomarker studies	2	Study	C2603343	[resa]
bleeding disorders	2	Bleeding Disorders	C1458140	[patf]
blindness	2	BLINDNESS	C0456909	[fndg]
blood chemistry	2	Blood chemistry NOS	C0005774	[lbpr]
blood donation	2	Blood Donation	C0005794	[hlca]
blood tests	2	Blood Tests	C0018941	[lbpr]
bone fracture	2	BONE FRACTURE	C0016658	[inpo]
bone marrow transplant	2	BONE MARROW TRANSPLANT	C0005961	[topp]
bradycardia	2	BRADYCARDIA	C0428977	[patf]
brain cancer	2	Brain Cancer	C0153633	[neop]
brain disorder	2	BRAIN DISORDER (NOS)	C0006111	[dsyn]
brain imaging study	2	Imaging Study	C1881134	[diap]
brain infection	2	"Infection, NOS"	C0009450	[dsyn]
brain infections	2	Infections	C3714514	[patf]
brain injury	2	Brain Injury	C0270611	[inpo]
brain tumors	2	Brain Tumors	C0006118	[neop]
breast feeding	2	Breast feeding	C1623040	[fndg]
brief cognitive screener	2	Cognitive	C1516691	[ftcn]
bromocriptine	2	Bromocryptine	C0006230	"[orch, phsu]"
buprenorphine transdermal patch	2	Buprenorphine Transdermal Patch	C1367484	[clnd]
c-ssrs	2	SSR	C2754414	[celc]
caffeinated drinks	2	Drinks	C0452428	[food]
caffeine	2	CAFFEINE	C0006644	"[orch, phsu]"
cardiac arrest	2	"Arrest, Cardiac"	C0018790	[dsyn]
cardiac arrhythmia	2	CARDIAC ARRHYTHMIA	C1560249	[patf]
cardiac arrhythmias	2	Cardiac Arrhythmias	C0003811	[fndg]
cardiac pacemakers	2	Cardiac pacemakers	C0030163	[medd]
cardiopulmonary resuscitation	2	"Resuscitation, Cardio-Pulmonary"	C0007203	[topp]
cardiovascular event	2	Cardiovascular event	C1320716	[fndg]
"cardiovascular, hepatic or renal disease"	2	"RENAL DISEASE, NOS"	C0022658	[dsyn]
carotid bruits	2	carotid bruits	C0007280	[fndg]
cause of dementia	2	dementia	C0011265	[mobd]
central nervous disease	2	nervous Disease	C0851241	[mobd]
central nervous system ( cns ) disorder	2	Central Nervous System Disorder	C0007682	[dsyn]
central nervous system ( cns ) medications	2	CENTRAL NERVOUS SYSTEM MEDICATIONS	C0007680	[phsu]
central nervous system infection	2	Central Nervous System Infection	C0007684	[dsyn]
centrally acting antihypertensive agents	2	Antihypertensive Agents	C0003364	[phsu]
cerebral hypoxia	2	Cerebral hypoxia	C1527348	[patf]
cerebral injuries	2	Cerebral injuries	C0558400	[inpo]
cerebral microhemorrhages	2	unmapped	unmapped	unmapped
cerebral neoplasia	2	Cerebral Neoplasia	C1263885	[neop]
cerebral trauma	2	Cerebral trauma	C0558400	[inpo]
cerebrovascular event	2	Event	C0441471	[evnt]
chemotherapy	2	"Chemotherapy, NOS"	C0392920	[topp]
chest x-ray	2	Chest X-ray	C1114557	[clna]
chf	2	CHF	C0018802	[dsyn]
child bearing potential	2	Potential	C3245505	[qlco]
child-pugh class b/c	2	Child-Pugh Class C	C3831115	[inpr]
cholinergic side effects	2	side effects	C0001688	[ftcn]
cl	2	Cl -	C0596019	[elii]
claudication	2	claudication	C0311395	[fndg]
claustrophobic	2	unmapped	unmapped	unmapped
clinical dementia rating ( cdr ) score	2	SCORE	C0449820	[qnco]
clinical dementia rating ( cdr ) total score	2	Total Score	C2964552	[qnco]
clinical dementia rating (cdr)	2	Rating	C0871208	[acty]
clinical depression	2	Clinical depression	C2362914	[mobd]
clinical evaluation	2	Clinical Evaluation	C1516634	[resa]
clinical laboratory values	2	Values	C0042295	[qlco]
clinical stroke	2	STROKE	C0038454	[dsyn]
clozapine	2	CLOZAPINE	C0009079	"[orch, phsu]"
co-morbidities	2	co-morbidity	C0009488	[idcn]
cocaine	2	COCAINE	C0009170	"[hops, orch]"
cognitive disorders	2	cognitive disorders	C0009241	[mobd]
cognitive performance	2	Performance	C0597198	[inbe]
cognitively normal ( cn )	2	NORMAL	C0205307	[qlco]
comatose state	2	State	C1301808	[geoa]
complete physical examination	2	"Physical examination, complete"	C0436120	[hlca]
conduction defects	2	Conduction Defects	C0264886	[patf]
conduction disturbance	2	conduction disturbance	C0232219	[patf]
congenital heart disease	2	CONGENITAL HEART DISEASE	C0152021	"[cgab, dsyn]"
congenital long qt syndrome	2	Congenital long QT syndrome	C1141890	[dsyn]
congestive heart failure ( chf )	2	CONGESTIVE HEART FAILURE	C0018802	[dsyn]
copd	2	#NAME?	C0024117	[dsyn]
cornell scale	2	Scale	C0349674	[inpr]
coronary revascularization	2	coronary revascularisation	C0877341	[topp]
cortical infarct	2	INFARCT	C0021308	[patf]
corticobasal degeneration	2	Corticobasal degeneration	C0393570	[dsyn]
corticosteroids	2	Corticosteroids	C0001617	"[horm, orch, phsu]"
cranberry	2	CRANBERRY	C0453273	"[orch, phsu]"
craniectomy	2	Craniectomy	C0195897	[topp]
creatinine	2	CREATININE	C0010294	"[bacs, orch]"
creutzfeldt-jacob disease	2	Creutzfeldt Jacob Disease	C0022336	[dsyn]
csdd	2	unmapped	unmapped	unmapped
csf examination	2	CSF	C3540512	[topp]
cushing's syndrome	2	Cushing syndrome	C0342443	[dsyn]
cutaneous squamous cell carcinoma in situ	2	In Situ	C0444498	[spco]
cva	2	"CVA, NOS"	C0038454	[dsyn]
dabigatran	2	DABIGATRAN	C2348066	"[orch, phsu]"
danazol	2	DANAZOL	C0010961	"[horm, orch, phsu]"
deafness	2	DEAFNESS	C0011053	[fndg]
deficits	2	deficits	C2987487	[qlco]
dementia of the alzheimer type	2	TYPE	C0332307	[qlco]
dementia with psychotic features	2	Feature	C2348519	[qlco]
dementing / neurodegenerative disease	2	Neuro-degenerative disease	C4020854	[dsyn]
depressed	2	Depressed	C0344315	[fndg]
devices	2	DEVICES	C0025080	[medd]
dextroamphetamine	2	Dextroamphetamine	C3539065	[lbpr]
diagnostic and statistical manual of mental disorders ( dsm-iv )	2	DSM IV	C0220952	[inpr]
"diagnostic and statistical manual of mental disorders, fourth edition ( dsm-iv )"	2	DSM IV	C0220952	[inpr]
diffuse lewy body dementia	2	LEWY BODY DEMENTIA	C0752347	[dsyn]
disability	2	DISABILITY	C0231170	[fndg]
disorders	2	Disorders	C0012634	[dsyn]
donated blood	2	BLOOD	C0229664	[bdsu]
drug or alcohol abuse or dependence	2	Dependence	C0439857	[mobd]
drug or alcohol abuse/dependence	2	Dependence	C0439857	[mobd]
"drug, alcohol or medicine abuse"	2	ABUSE	C0013146	[mobd]
drugs of abuse	2	ABUSE	C0013146	[mobd]
dsm iv	2	DSM IV	C0220952	[inpr]
dsm v criteria	2	Criteria	C0243161	[inpr]
dsm-iv categories	2	Categories	C0683312	[inpr]
dsm-iv-tr criteria	2	Criteria	C0243161	[inpr]
duloxetine	2	DULOXETINE	C0245561	"[orch, phsu]"
edema	2	OEDEMA	C0013604	[fndg]
ekg	2	EKG	C0013798	[fndg]
electrocardiogram	2	Electro-Cardiogram	C1547122	[spco]
electrocardiograph ( ecg )	2	ECG NOS	C1623258	[diap]
electroshock therapy	2	Electroshock therapy	C0013806	[topp]
endocrine or metabolic disease	2	Metabolic Disease	C0025517	[dsyn]
epileptiform features	2	Feature	C2348519	[qlco]
euthyroid	2	Euthyroid	C0117002	[fndg]
exotic citrus fruits	2	Citrus fruits	C0600183	[food]
experimental drug	2	Experimental drug	C0304229	[phsu]
experimental medication	2	Medication	C0013227	[phsu]
eye disease	2	"Disease, Eye"	C0015397	[dsyn]
familial autosomal dominant ad	2	Autosomal dominant	C0443147	[genf]
fast score	2	SCORE	C0449820	[qnco]
fdg pet scan	2	FDG-PET Scan	C3641247	[diap]
febrile convulsions	2	febrile convulsions	C0595982	[phsu]
febrile seizure	2	Febrile Seizure	C0009952	[dsyn]
febrile seizures	2	Febrile seizures	C0009952	[dsyn]
fits	2	Fits NOS	C0036572	[sosy]
flurbiprofen	2	FLURBIPROFEN	C0016377	"[orch, phsu]"
focal signs	2	signs	C0220912	[ftcn]
folic acid deficiency	2	Folic Acid Deficiency	C0016412	[dsyn]
formulation	2	Formulation	C0524527	[resa]
fronto-temporal dementia	2	dementia	C0011265	[mobd]
frontotemporal	2	unmapped	unmapped	unmapped
full physical examination	2	PHYSICAL EXAMINATION	C0031809	[hlca]
gastrectomy	2	Gastrectomy	C0017118	[topp]
gastrointestinal surgery	2	"Surgery, Gastrointestinal"	C0524722	[topp]
"gastrointestinal, cardiovascular, hepatic, renal, hematological, neoplastic, endocrine, neurological, immunodeficiency, pulmonary or other disorder or disease"	2	Disease	C0012634	[dsyn]
general cognitive function	2	"Function, Cognitive"	C0009240	[menp]
geriatric depression scale ( 30 -point scale ) score	2	SCORE	C0449820	[qnco]
geriatric depression scales ( gds )	2	Geriatric depression scale	C0451184	[inpr]
gfr	2	GFR	C0017654	[diap]
gleason grade	2	Gleason Grade	C0332326	[clas]
global deterioration scale ( gds )	2	Scale	C0349674	[inpr]
goserelin	2	GOSERELIN	C0120107	"[aapp, phsu]"
hachinski ischemia scale score	2	Scale	C0349674	[inpr]
hachinski ischemic score	2	SCORE	C0449820	[qnco]
haemoglobin	2	Hemoglobin	C0019046	"[aapp, bacs]"
hamd	2	unmapped	unmapped	unmapped
hamd score	2	SCORE	C0449820	[qnco]
hamilton depression rating scale score	2	SCORE	C0449820	[qnco]
hamilton depression scale score	2	Scale Score	C4049715	[inpr]
head trauma with loss of consciousness	2	consciousness	C0009791	[fndg]
heart failure	2	Heart Failure	C0018802	[dsyn]
"hematological, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurologic or allergic disease"	2	Allergic Disease	C0851444	[dsyn]
hematology	2	Hematology	C0200627	[lbpr]
hemispheric stroke	2	STROKE	C0038454	[dsyn]
hemoglobin	2	Hemoglobin	C0019046	"[aapp, bacs]"
hepatitis b or c	2	HEPATITIS B	C0019163	[dsyn]
hepatitis b or c or cirrhosis	2	Cirrhosis	C1623038	[dsyn]
hepatitis b surface antigen	2	HEPATITIS B SURFACE ANTIGEN	C0019168	"[imft, phsu]"
hepatitis c antibody	2	Hepatitis C Antibody	C0166049	"[aapp, imft]"
herbal	2	Herbal	C3146288	[qlco]
heroin	2	Heroin	C0011892	"[hops, orch, phsu]"
hoehn & yahr stage	2	Stage	C1300072	[clna]
homocysteine	2	Homocysteine	C0019878	"[aapp, bacs]"
human blood product	2	Human blood product	C1533078	[bdsu]
human immunodeficiency virus ( hiv )	2	Human Immunodeficiency Virus	C0019682	[virs]
human immunodeficiency virus ( hiv ) infection	2	"Human immunodeficiency virus infection, NOS"	C0019693	[dsyn]
huntington disease	2	Huntington's Disease	C2919056	[ftcn]
huntington's chorea	2	"Chorea, Huntington's"	C0020179	[dsyn]
hypnotic	2	Hypnotic	C0020591	[phsu]
hypoglycemia	2	HYPOGLYCEMIA	C0020615	[dsyn]
hypotension	2	HYPOTENSION	C0020649	[fndg]
hypoxic cerebral damage	2	hypoxic Cerebral damage	C1140716	[patf]
hypoxic damage	2	Damage	C0010957	[inpo]
hysterectomy	2	Hysterectomy	C1548863	[hlca]
icd - 10	2	ICD-10	C1137110	[inpr]
immunosuppressants	2	IMMUNOSUPPRESSANTS	C0021081	"[imft, phsu]"
immunosuppression	2	Immunosuppression	C1373218	[patf]
immunosuppressive drugs	2	Immunosuppressive drugs	C2359945	[clna]
impaired liver or kidney function	2	kidney function	C0232804	[ortf]
in situ prostate cancer	2	PROSTATE	C0033572	[bpoc]
indomethacin	2	Indometacin	C0021246	"[orch, phsu]"
infectious or inflammatory/demyelinating cns conditions	2	Condition	C1705253	[cnce]
inflammatory disease	2	Inflammatory Disease	C1290884	[dsyn]
injuries	2	injuries	C1510467	[qlco]
injury	2	Injury	C3263722	[inpo]
international classification of diseases ( icd ) - 10	2	10%	C3842590	[fndg]
intolerability	2	unmapped	unmapped	unmapped
intra-ocular pressure	2	Intraocular pressure	C0021888	[ortf]
intravenous immunoglobulin	2	Intravenous Immunoglobulin	C0085297	"[aapp, imft, phsu]"
invasive medical device	2	Medical Device	C0025080	[medd]
investigational new drug	2	Investigational New Drug	C0013230	[phsu]
investigational pharmaceutical product	2	Pharmaceutical Product	C1708062	[phsu]
investigational treatment	2	"Treatment, Investigational"	C0949266	[topp]
iodine	2	Iodine	C2348268	[elii]
ischemia	2	"Ischaemia, NOS"	C0022116	[patf]
ketoconazole	2	KETOCONAZOLE	C0022625	"[orch, phsu]"
kidney dialysis	2	Kidney Dialysis	C0019004	[topp]
korean version mini-mental state examination scores	2	Scores	C0449820	[qnco]
laboratory evaluations	2	Evaluations	C0220825	[hlca]
laboratory test results	2	Result	C2825142	[fndg]
laboratory value	2	Value	C1522609	[qnco]
laboratory values	2	Values	C0042295	[qlco]
lactose intolerance	2	"Intolerance, Lactose"	C0022951	[dsyn]
lacunar infarcts	2	Lacunar Infarcts	C0333559	[dsyn]
language difficulties	2	Language difficulty	C0564213	[fndg]
learning disability	2	Learning disability	C1321592	[bmod]
lesions	2	lesions	C0221198	[fndg]
leukoaraiosis	2	Leukoaraiosis	C0948163	[patf]
lewy body	2	Lewy Body	C0085200	[celc]
lithium treatment	2	Treatment	C0087111	[topp]
liver function test	2	Liver Function Test	C0023901	[lbpr]
liver impairment	2	Hepatic impairment	C0948807	[dsyn]
local anesthetics	2	"ANESTHETICS, LOCAL"	C0002934	[phsu]
localized prostate cancer	2	Prostate Cancer	C0600139	[neop]
lower back pain	2	lower backpain	C0024031	[sosy]
lung disease	2	"Disease, Lung"	C0024115	[dsyn]
madrs score	2	SCORE	C0449820	[qnco]
magnetic resonance imaging ( mri )	2	"Imaging, Magnetic Resonance"	C0024485	[diap]
major psychiatric disorder	2	Psychiatric Disorder	C0004936	[mobd]
medical condition/circumstances	2	Condition	C1705253	[cnce]
medical disease/disorder	2	disease/disorder	C0012634	[dsyn]
medical disorder	2	Disorder	C0012634	[dsyn]
medical illnesses	2	illnesses	C0221423	[sosy]
melanoma	2	MELANOMA	C0025202	[neop]
memory	2	Memory	C0025260	[menp]
memory concern	2	Concern	C2699424	[idcn]
memory dysfunction	2	Memory Dysfunction	C3887551	[mobd]
menstrual period	2	Menstrual period	C0025344	[orgf]
mental disorder	2	"Disorder, Mental"	C0004936	[mobd]
metastases	2	Metastases	C0027627	[neop]
methemoglobinemia	2	METHEMOGLOBINEMIA	C0025637	[dsyn]
methyldopa	2	METHYLDOPA	C0025741	"[aapp, bacs, phsu]"
methylmalonic acid	2	Methylmalonic Acid	C0025787	[orch]
mi	2	MI	C3810814	[diap]
microhemorrhages	2	unmapped	unmapped	unmapped
migraines	2	MIGRAINES	C0149931	[dsyn]
mineral supplements	2	Supplement	C2348609	[ftcn]
minerals	2	MINERALS	C0026162	[inch]
mini mental state examination	2	Mini-mental state examination	C0451306	[diap]
mini mental state examination (mmse) score	2	Mini-mental state examination score	C2960235	[fndg]
mini-mental state examination (mmse) score	2	Mini-mental state examination score	C2960235	[fndg]
mini-mental status exam score	2	SCORE	C0449820	[qnco]
mini-mental status examination ( mmse ) score	2	SCORE	C0449820	[qnco]
mmse scores	2	Scores	C0449820	[qnco]
mmse total score	2	Total Score	C2964552	[qnco]
modafinil	2	MODAFINIL	C0066677	"[orch, phsu]"
modified hachinski ischemia scale	2	Scale	C0349674	[inpr]
modified hachinski ischemia scale score	2	Scale	C0349674	[inpr]
modified hachinski ischemic scale score	2	Scale Score	C4049715	[inpr]
montreal cognitive assessment ( moca ) score	2	SCORE	C0449820	[qnco]
mood stabilizers	2	Mood Stabilizers	C4020582	[phsu]
mri brain imaging	2	Imaging	C0079595	[diap]
mri scanning	2	Scanning	C0034606	[diap]
ms	2	Ms.	C2349943	[cnce]
multi-vitamins	2	Multi vitamins	C0301532	"[orch, phsu, vita]"
myelosuppression	2	Myelosuppression	C0854467	[fndg]
national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association ( nincds/adrda ) criteria	2	Criteria	C0243161	[inpr]
national institute of neurological disorders-alzheimer's disease and related disorders association ( ninds-adrda ) criteria	2	Criteria	C0243161	[inpr]
nerve syphilis	2	SYPHILIS	C0039128	[dsyn]
neurodegenerative disorder	2	Neurodegenerative Disorder	C0524851	[dsyn]
neurologic deficits	2	Neurologic Deficits	C0521654	[fndg]
neurologic disorders	2	Neurologic Disorders	C0027765	[dsyn]
neurological exam	2	neurological exam	C0027853	[diap]
neurological or psychiatric condition	2	Psychiatric condition	C0004936	[mobd]
neurological or psychiatric conditions	2	Psychiatric condition	C0004936	[mobd]
"neurological-, cardiovascular-, gastrointestinal- or genitourinary disorders"	2	GENITOURINARY DISORDERS	C0080276	[dsyn]
neuropsychiatric inventory ( npi )	2	Inventory	C0021941	[mnob]
neuropsychologic disturbances	2	Disturbance	C2699787	[qlco]
neutropenia	2	NEUTROPENIA	C0027947	[dsyn]
new york heart association criteria	2	Criteria	C0243161	[inpr]
nia-aa criteria	2	Criteria	C0243161	[inpr]
nicotine	2	NICOTINE	C0028040	"[hops, orch, phsu]"
nicotine or caffeine use	2	Use	C1947944	[inpr]
nicotine-containing products	2	Containing	C0332256	[ftcn]
non q-wave myocardial infarction	2	Non-Q wave myocardial infarction	C0542269	[dsyn]
non-ad dementia	2	dementia	C0011265	[mobd]
non-alzheimer dementia	2	Alzheimer dementia	C0002395	[dsyn]
non-child bearing potential	2	Potential	C3245505	[qlco]
non-compliance	2	Non-compliance	C0457432	[qlco]
non-metastatic skin cancers	2	Metastatic Skin Cancer	C1947968	[neop]
non-pregnant	2	Pregnant	C0549206	[fndg]
non-prescribed drugs of abuse	2	ABUSE	C0013146	[mobd]
nonchildbearing potential	2	Potential	C3245505	[qlco]
nonhormonal contraception	2	Contraception	C0700589	[topp]
nonsteroidal anti-inflammatory drugs	2	Nonsteroidal Anti Inflammatory Drugs	C3536840	[phsu]
nonsteroidal medication	2	Medication	C0013227	[phsu]
npi subscale	2	NPI	C1549728	[inpr]
nyha	2	unmapped	unmapped	unmapped
obstructive pulmonary disease	2	"Pulmonary Disease, Obstructive"	C0600260	[dsyn]
of vascular origin	2	Vascular origin	C1301415	[ftcn]
omeprazole	2	OMEPRAZOLE	C0028978	"[orch, phsu]"
oophorectomy	2	OOPHORECTOMY	C0029936	[topp]
organ failure	2	Organ failure	C0349410	[sosy]
organic disease	2	organic disease	C0683324	[dsyn]
orthostatic hypotension	2	"HYPOTENSION, ORTHOSTATIC"	C0020651	[fndg]
oxazepam	2	OXAZEPAM	C0029997	"[orch, phsu]"
panic disorder	2	PANIC DISORDER	C1868649	[dsyn]
pdd	2	PDD	C0524528	[mobd]
pergolide	2	PERGOLIDE	C0031007	"[orch, phsu]"
peripheral oedema	2	Peripheral oedema	C0085649	[fndg]
phenobarbital	2	PHENOBARBITAL	C0031412	"[orch, phsu]"
phenothiazines	2	phenothiazines	C0202449	[lbpr]
phenytoin	2	PHENYTOIN	C0031507	"[orch, phsu]"
phlebotomy	2	"Phlebotomy, NOS"	C0684257	[topp]
physical conditions	2	Physical Condition	C3714565	[orga]
physical exam	2	Physical Exam	C1744699	[inpr]
physical illness	2	Physical Illness	C0683323	[dsyn]
physical illnesses	2	Physical Illness	C0683323	[dsyn]
physical problems	2	Problems	C1546466	[idcn]
physical- or neurological examination	2	Neurological Examination	C0027853	[diap]
platelet counts	2	Platelet Counts	C0032181	[lbpr]
pomegranate	2	POMEGRANATE	C2347626	[qlco]
pomelos	2	Pomelo	C0453290	[food]
positron emission tomography ( pet )	2	Positron Emission Tomography	C0032743	[diap]
pre-study psychological assessment	2	Psychological assessment	C0204452	[diap]
prescription medication	2	Prescription Medication	C0304227	[phsu]
prescription or nonprescription drugs	2	"Drugs, Nonprescription"	C0013231	[phsu]
prodromal dementia	2	dementia	C0011265	[mobd]
prostheses	2	PROSTHESES	C0175649	[medd]
proton pump inhibitors	2	"Inhibitors, Proton Pump"	C0358591	[phsu]
psychiatric condition	2	Psychiatric condition	C0004936	[mobd]
psychiatric conditions	2	Psychiatric condition	C0004936	[mobd]
psychiatric or neurological disorder	2	Neurological Disorder	C0027765	[dsyn]
psychiatric or neurological disorders	2	"Disorders, Neurological"	C0027765	[dsyn]
"psychoactive, recreational or prescription drug"	2	Prescription drug	C0304227	[phsu]
psychometric testing	2	Psychometric testing	C0033920	[diap]
psychotic symptoms	2	psychotic symptoms	C0871189	[sosy]
pulse rate measurement	2	Rate measurement	C0201785	[lbpr]
pyridostigmine	2	PYRIDOSTIGMINE	C0034261	"[orch, phsu]"
q-wave myocardial infarction	2	Myocardial infarction	C2926063	[clna]
qtc prolongation	2	QTC PROLONGATION	C0855333	[fndg]
quinidine	2	QUINIDINE	C0034414	"[orch, phsu]"
radiopharmaceutical imaging	2	Radiopharmaceutical imaging	C1998274	[diap]
radiopharmaceutical imaging or treatment	2	Treatment	C0087111	[topp]
recreational drug	2	Recreational Drug	C0242508	[hops]
renal function tests	2	Renal function tests	C0022662	[lbpr]
reproductive potential	2	Potential	C3245505	[qlco]
residual neurological deficits	2	Neurological deficit	C0521654	[fndg]
retinoids	2	Retinoids	C0035339	"[orch, phsu]"
rheumatoid arthritis	2	RHEUMATOID ARTHRITIS	C0003873	[dsyn]
rifampin	2	RIFAMPIN	C0035608	"[antb, orch]"
risperidone	2	RISPERIDONE	C0073393	"[orch, phsu]"
scanning	2	Scanning	C0441633	[diap]
scoliosis	2	Scoliosis	C0700208	[acab]
screening laboratory tests	2	screening Laboratory Tests	C0871311	[hlca]
seasonal allergies	2	SEASONAL ALLERGIES	C0018621	[dsyn]
secretase inhibitor	2	Inhibitor	C1999216	[qlco]
selective serotonin reuptake inhibitors	2	Selective Serotonin Reuptake Inhibitors	C0360105	[phsu]
sensitivity	2	Sensitivity	C0020517	[patf]
sensory deficit	2	Sensory deficit	C0748618	[dsyn]
sensory impairment	2	Sensory impairment	C0020580	[fndg]
serum glucose	2	Serum Glucose	C0202041	[lbpr]
serum gonadotropin ( gn ) concentrations	2	Concentrations	C0086045	[menp]
serum levels of thyroid stimulating hormone ( tsh )	2	Thyroid Stimulating Hormone	C1535531	"[aapp, horm, phsu]"
serum vitamin b12	2	Serum vitamin B12 NOS	C0427408	[lbpr]
seville oranges	2	Seville orange	C0330922	[plnt]
shock	2	SHOCK	C0036974	[patf]
simple phobias	2	"PHOBIA, SIMPLE"	C0236801	[mobd]
sinemet	2	Sinemet	C0074559	"[orch, phsu]"
size	2	Size	C0456389	[spco]
sleep disorder	2	SLEEP DISORDER	C0851578	[dsyn]
ssri	2	SSRI	C0360105	[phsu]
st. john's wort	2	ST	C0036056	[geoa]
standard laboratory tests	2	Laboratory Tests	C0022885	[lbpr]
